,"For updates/additions/ comments, email:",hoppecr@umich.edu,,,,,
,CAMP SCHOLARSHIP (Campership) Info: For Grade 5 through Age 16 children only.,Washtenaw Camp Placement,,,,,
Registration Status,Registration Details (2026),Camp Name,Ages,Address,Cost,Days/Times,Before / After Care?
Not yet updated for 2026,,A2 YMCA Expanding Horizons Youth Volunteer Corps Summer Program,11-17,,$0,July & August,
Not yet updated for 2026,,Active Kids,5-13,"The Fitness House: 4350 Concourse Dr, Ann Arbor, MI",$199,Half Days Mon-Thurs,
OPEN for 2026,,Ann Arbor Academy,Ages 6-18,Ann Arbor Academy 1153 Oak Valley Drive • Ann Arbor,$600/week,"Mon-Fri, 8:30am-3pm",
OPEN for 2026,"Registration Opens - Jan 23, 2026 @ 7am",Ann Arbor Art Center,"Creativity: Ages 5-7, 8-9, 9-10; Clay: 9-12","Ann Arbor Art Center: 117 W Liberty St, Ann Arbor","Creativity Camps - $445/week, Clay Camps - $465/week",9AM-4PM,
OPEN for 2026,"Registration opens Jan 20th for Members + Jan 22nd, 2026 for non-members","Ann Arbor Hands on Museum
& Leslie Science and Nature Center","4-13
13-17 as volunteers","220 E Ann St, Ann Arbor, MI 48104
1831 Traver Road Ann Arbor, MI 48105",$375,8:30AM-3:30PM,"3:30-5:00 PM
+$125/week"
Coming Soon for 2026 - keep and eye on noted registration dates!,"Registration Opens TUESDAY, FEBRUARY 24th AT 10:00A",Ann Arbor Rec & Ed,3-14,Various locations in Ann Arbor,$300 per week for full days,Full days - 9AM-4PM,
Not yet updated for 2026,"TO SIGN UP, EMAIL KAREN AT A2MUSICCENTER@GMAIL.COM",Ann Arbor Saline Music Center Summer Music Camp,8+,Ann Arbor Saline Music Center - Saline,$595/week,JUNE 16-20 JUNE 23-27 9:30 AM - 3:30 PM   MONDAY - FRIDAY,N/A
Not yet updated for 2026,Please email or call Jamie Meyer - Director @ Annie's - jamie@anniescc.com or 734-663-8081,Annie's Children's Center,6-11,5350 Park Rd Ann Arbor 48103,$59/day or $275/week,"Mon-Fri, 7am-6pm",N/A
OPEN for 2026,,Apple Playschools,Y5-5th Grade,"West Side United Methodist Church, 900 S 7th St, Ann Arbor.",$595/child for any 1 (single) two week session​ $1154.30/child for any 2 two-week sessions $1677.90/child for any 3 two-week sessions $2142/child for any 4 two-week sessions $2528.75/child for all 5 two-week sessions,8:30 am - 4pm,"4:00-5:30 PM
+$115/week"
Not yet updated for 2026,,Area Youth Ministry (AYM) Coding & Design Camp,6th-8th Grade,Skyline HS,$150 (financial aid available upon request),"7/29-8/1/24, 9am-1pm",
OPEN for 2026,,Arts of Brazil Summer Camp,5-12,Brazilian Michigan Cultural Center: 111 S Wallace Ypsilanti,$350/week,9am - 4pm,Before care (8am) and after care (til 5pm) for an additional cost.
